"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 01월 25일","283.30","284.16","284.27","282.40","84.59M","0.04%"
"2018년 01월 24일","283.18","284.02","284.70","281.84","134.82M","-0.04%"
"2018년 01월 23일","283.29","282.74","283.62","282.37","97.08M","0.21%"
"2018년 01월 22일","282.69","280.17","282.69","280.11","91.32M","0.81%"
"2018년 01월 19일","280.41","279.80","280.41","279.14","140.92M","0.45%"
"2018년 01월 18일","279.14","279.48","279.96","278.58","100.73M","-0.17%"
"2018년 01월 17일","279.61","278.03","280.05","276.97","113.26M","0.95%"
"2018년 01월 16일","276.97","279.35","280.09","276.18","106.56M","-0.34%"
"2018년 01월 12일","277.92","276.42","278.11","276.08","90.82M","0.65%"
"2018년 01월 11일","276.12","274.75","276.12","274.56","62.36M","0.73%"
"2018년 01월 10일","274.12","273.68","274.42","272.92","69.57M","-0.15%"
"2018년 01월 09일","274.54","274.40","275.25","274.08","57.25M","0.23%"
"2018년 01월 08일","273.92","273.31","274.10","272.98","57.32M","0.18%"
"2018년 01월 05일","273.42","272.51","273.56","271.95","83.52M","0.67%"
"2018년 01월 04일","271.61","271.20","272.16","270.54","80.64M","0.42%"
"2018년 01월 03일","270.47","268.96","270.64","268.96","90.07M","0.63%"
"2018년 01월 02일","268.77","267.84","268.81","267.40","86.66M","0.72%"
"2017년 12월 29일","266.86","268.53","268.55","266.64","96.01M","-0.38%"
"2017년 12월 28일","267.87","267.89","267.92","267.45","45.12M","0.21%"
"2017년 12월 27일","267.32","267.38","267.73","267.01","57.75M","0.05%"
"2017년 12월 26일","267.19","267.05","267.44","266.88","45.24M","-0.12%"
"2017년 12월 22일","267.51","267.60","267.63","266.90","78.72M","-0.03%"
"2017년 12월 21일","267.58","267.74","268.38","267.30","67.03M","0.21%"
"2017년 12월 20일","267.03","268.27","268.33","266.69","76.75M","-0.05%"
"2017년 12월 19일","267.17","268.48","268.53","267.09","82.38M","-0.38%"
"2017년 12월 18일","268.20","268.10","268.60","267.98","83.65M","0.63%"
"2017년 12월 15일","266.51","265.45","267.04","265.39","144.61M","0.32%"
"2017년 12월 14일","265.66","267.09","267.22","265.60","100.67M","-0.41%"
"2017년 12월 13일","266.75","267.06","267.56","266.65","102.91M","-0.01%"
"2017년 12월 12일","266.78","266.57","267.32","266.35","85.20M","0.18%"
"2017년 12월 11일","266.31","265.58","266.38","265.48","83.08M","0.30%"
"2017년 12월 08일","265.51","264.99","265.52","264.03","76.56M","0.55%"
"2017년 12월 07일","264.07","263.09","264.43","262.94","77.22M","0.32%"
"2017년 12월 06일","263.24","262.87","263.73","262.71","75.90M","0.02%"
"2017년 12월 05일","263.19","264.43","265.15","263.04","77.99M","-0.36%"
"2017년 12월 04일","264.14","266.31","266.80","264.08","94.04M","-0.12%"
"2017년 12월 01일","264.46","264.76","265.31","260.76","164.39M","-0.21%"
"2017년 11월 30일","265.01","263.76","266.05","263.67","127.89M","0.88%"
"2017년 11월 29일","262.71","263.02","263.63","262.20","77.51M","-0.06%"
"2017년 11월 28일","262.87","260.76","262.90","260.65","98.97M","1.01%"
