"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 08월 03일","6,340.3","6,366.2","6,368.5","6,331.1","476.05M","-0.35%"
"2017년 08월 02일","6,362.6","6,393.1","6,394.2","6,313.4","490.37M","-0.00%"
"2017년 08월 01일","6,362.9","6,372.2","6,375.8","6,345.8","426.55M","0.23%"
"2017년 07월 31일","6,348.1","6,394.7","6,396.6","6,338.8","485.92M","-0.42%"
"2017년 07월 28일","6,374.7","6,350.3","6,379.7","6,337.2","436.77M","-0.12%"
"2017년 07월 27일","6,382.2","6,459.8","6,460.8","6,318.6","564.93M","-0.63%"
"2017년 07월 26일","6,422.8","6,425.9","6,432.4","6,416.3","433.53M","0.16%"
"2017년 07월 25일","6,412.2","6,407.6","6,425.5","6,396.9","479.54M","0.02%"
"2017년 07월 24일","6,410.8","6,387.8","6,417.7","6,380.6","418.95M","0.36%"
"2017년 07월 21일","6,387.8","6,383.0","6,388.8","6,365.1","468.14M","-0.04%"
"2017년 07월 20일","6,390.0","6,396.5","6,398.3","6,365.7","414.71M","0.08%"
"2017년 07월 19일","6,385.0","6,363.2","6,387.7","6,362.2","423.94M","0.64%"
"2017년 07월 18일","6,344.3","6,304.8","6,344.5","6,291.1","388.97M","0.47%"
"2017년 07월 17일","6,314.4","6,320.4","6,331.0","6,307.3","367.32M","0.03%"
"2017년 07월 14일","6,312.5","6,289.1","6,321.8","6,278.7","364.80M","0.61%"
"2017년 07월 13일","6,274.4","6,269.1","6,281.5","6,251.3","423.33M","0.21%"
"2017년 07월 12일","6,261.2","6,238.9","6,265.6","6,236.8","424.25M","1.10%"
"2017년 07월 11일","6,193.3","6,171.3","6,200.6","6,149.9","426.66M","0.27%"
"2017년 07월 10일","6,176.4","6,156.0","6,191.3","6,141.8","409.75M","0.38%"
"2017년 07월 07일","6,153.1","6,111.2","6,164.9","6,111.2","397.25M","1.04%"
"2017년 07월 06일","6,089.5","6,109.6","6,128.0","6,082.0","514.78M","-1.00%"
"2017년 07월 05일","6,150.9","6,122.1","6,163.6","6,100.4","462.92M","0.67%"
"2017년 07월 03일","6,110.1","6,173.3","6,177.4","6,106.1","272.19M","-0.49%"
"2017년 06월 30일","6,140.4","6,166.8","6,170.6","6,129.0","501.47M","-0.06%"
"2017년 06월 29일","6,144.4","6,215.5","6,216.6","6,087.8","528.05M","-1.44%"
"2017년 06월 28일","6,234.4","6,173.1","6,238.3","6,144.8","461.44M","1.43%"
"2017년 06월 27일","6,146.6","6,227.9","6,234.3","6,146.6","490.36M","-1.61%"
"2017년 06월 26일","6,247.1","6,292.7","6,303.4","6,233.4","455.73M","-0.29%"
"2017년 06월 23일","6,265.3","6,234.4","6,269.4","6,218.8","1.46B","0.46%"
"2017년 06월 22일","6,236.7","6,239.1","6,257.7","6,222.0","471.36M","0.04%"
"2017년 06월 21일","6,234.0","6,202.8","6,236.7","6,200.9","491.84M","0.74%"
"2017년 06월 20일","6,188.0","6,229.6","6,234.0","6,186.9","488.69M","-0.82%"
"2017년 06월 19일","6,239.0","6,196.9","6,243.3","6,194.0","447.66M","1.42%"
"2017년 06월 16일","6,151.8","6,154.3","6,161.6","6,125.5","1.31B","-0.22%"
"2017년 06월 15일","6,165.5","6,127.0","6,170.1","6,107.9","436.59M","-0.47%"
"2017년 06월 14일","6,194.9","6,237.5","6,237.5","6,153.5","457.03M","-0.41%"
"2017년 06월 13일","6,220.4","6,206.1","6,226.4","6,180.0","525.01M","0.73%"
"2017년 06월 12일","6,175.5","6,153.6","6,183.8","6,110.7","604.27M","-0.52%"
"2017년 06월 09일","6,207.9","6,330.3","6,341.7","6,137.7","670.48M","-1.80%"
"2017년 06월 08일","6,321.8","6,311.7","6,324.1","6,282.9","484.13M","0.39%"
"2017년 06월 07일","6,297.4","6,290.4","6,302.8","6,267.2","432.54M","0.36%"
"2017년 06월 06일","6,275.1","6,281.9","6,304.2","6,269.9","430.50M","-0.33%"
"2017년 06월 05일","6,295.7","6,305.5","6,310.6","6,292.1","398.25M","-0.16%"
"2017년 06월 02일","6,305.8","6,261.6","6,308.8","6,253.8","454.57M","0.94%"
"2017년 06월 01일","6,246.8","6,215.9","6,247.1","6,200.5","502.29M","0.78%"
"2017년 05월 31일","6,198.5","6,221.6","6,222.0","6,164.1","697.15M","-0.08%"
"2017년 05월 30일","6,203.2","6,204.2","6,217.1","6,200.4","402.25M","-0.11%"
"2017년 05월 26일","6,210.2","6,207.0","6,211.5","6,196.7","373.96M","0.08%"
"2017년 05월 25일","6,205.3","6,183.0","6,217.3","6,174.5","417.08M","0.69%"
"2017년 05월 24일","6,163.0","6,154.2","6,166.1","6,139.3","400.25M","0.40%"
"2017년 05월 23일","6,138.7","6,149.5","6,150.9","6,121.8","407.73M","0.08%"
"2017년 05월 22일","6,133.6","6,098.3","6,135.9","6,097.2","421.95M","0.82%"
"2017년 05월 19일","6,083.7","6,070.2","6,106.5","6,070.2","517.15M","0.47%"
"2017년 05월 18일","6,055.1","5,998.5","6,073.5","5,996.8","511.17M","0.73%"
"2017년 05월 17일","6,011.2","6,108.6","6,122.9","6,009.5","565.78M","-2.57%"
"2017년 05월 16일","6,169.9","6,160.5","6,170.2","6,139.1","460.05M","0.33%"
"2017년 05월 15일","6,149.7","6,128.1","6,153.0","6,124.8","452.00M","0.46%"
"2017년 05월 12일","6,121.2","6,119.3","6,122.8","6,105.4","412.46M","0.09%"
"2017년 05월 11일","6,116.0","6,110.0","6,120.2","6,075.7","452.52M","-0.22%"
"2017년 05월 10일","6,129.1","6,121.6","6,131.6","6,103.9","482.51M","0.14%"
"2017년 05월 09일","6,120.6","6,111.8","6,133.0","6,107.6","466.70M","0.29%"
"2017년 05월 08일","6,102.7","6,100.7","6,106.1","6,083.1","459.30M","0.03%"
"2017년 05월 05일","6,100.8","6,091.7","6,100.8","6,067.1","443.62M","0.42%"
"2017년 05월 04일","6,075.3","6,075.1","6,080.8","6,054.3","481.85M","0.05%"
"2017년 05월 03일","6,072.5","6,075.0","6,077.0","6,053.3","498.86M","-0.37%"
"2017년 05월 02일","6,095.4","6,102.5","6,102.7","6,081.6","498.62M","0.06%"
"2017년 05월 01일","6,091.6","6,067.6","6,100.7","6,061.4","416.34M","0.73%"
"2017년 04월 28일","6,047.6","6,072.9","6,074.0","6,040.7","523.42M","-0.02%"
"2017년 04월 27일","6,048.9","6,038.5","6,050.7","6,031.6","461.83M","0.39%"
